0.22942454,0.4797788,0.45164576
0.21258628,0.4831871,0.47585106
0.22349986,0.45978856,0.48820263
0.21153863,0.5026965,0.62943256
0.23861086,0.45320937,0.48096412
0.31182486,0.56666505,0.8055799
0.27829012,0.44441473,0.6749405
0.42784777,0.5760792,0.62152916
0.20902707,0.36849186,0.50329006
0.52430606,0.57139874,0.5288433
0.1684756,0.4258213,0.5288385
0.50154656,0.5270733,0.70246387
0.49678737,0.45373315,0.7016988
0.6526183,0.53297937,0.6818357
0.6482704,0.45310938,0.55738854
0.7916989,0.5281092,0.5969027
0.7859411,0.46086067,0.81135714
