0.27833176,0.48266903,0.40846592
0.26341707,0.49450278,0.43847027
0.2610824,0.47157204,0.41067228
0.2613845,0.5139819,0.6379865
0.25845098,0.4685051,0.5190258
0.30480367,0.5422235,0.6823329
0.29774126,0.45002243,0.5540458
0.3089037,0.5674569,0.70476806
0.29513618,0.41982767,0.57588375
0.23770429,0.5370046,0.5470628
0.218738,0.45150042,0.5094457
0.50612676,0.5245949,0.5956476
0.49894243,0.45917925,0.6474581
0.65028864,0.5260278,0.792328
0.64823896,0.4571522,0.76826566
0.7889438,0.5241435,0.78635645
0.7823443,0.46524292,0.74186724
